"filename", "language", "Lua", "Markdown", "JSON", "YAML", "XML", "pip requirements", "Shell Script", "Rust", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\docs\Examples.md", "Markdown", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 106
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\docs\Installation.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\docs\Tour.md", "Markdown", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 183
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\docs\WhyUsePromises.md", "Markdown", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 256
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\docs\intro.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\lib\init.lua", "Lua", 1513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 404, 2069
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\lib\init.spec.lua", "Lua", 1433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 407, 1845
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows\ci.yml", "YAML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 17, 80
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows\clabot.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows\release.yml", "YAML", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 17, 77
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\CHANGELOG.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\CONTRIBUTING.md", "Markdown", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 80
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\DESIGN.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 66
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\default.project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\api-reference.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 123
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\getting-started\debugging-tests.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\getting-started\installation.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\getting-started\running-tests.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
